文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,泥岩,2487,,,2,26,1.37,20.9,,,198.8,3.8,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,粉砂岩,2350,,,2.3,33,2.77,35,,,202.6,6.5,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,细粒砂岩,2500,,,2,36,1.52,42.3,,,209.1,115.5,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,11-1煤,1350,,,1.2,26,1.21,18.3,,,324.6,1.4,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,粉砂岩,2350,,,3.1,34,4.12,52.7,,,326,7,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,郑州市,黄土,1540,,,,,0,,0,,0,14.4,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,砂质泥岩,2310,,,,,0.8,,5.43,,14.4,10.7,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,细粒砂岩,2620,,,,,2.8,,33.4,,25.1,13.4,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,砂质泥岩,2310,,,,,0.8,,5.43,,38.5,4,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,泥岩,2250,,,,,0.7,,8.75,,42.5,6.7,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,中粒砂岩,2550,,,,,3.5,,36.1,,49.2,15.4,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,砂质泥岩,2310,,,,,0.8,,5.43,,64.6,3.1,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,泥岩,2250,,,,,0.7,,8.75,,67.7,6.9,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,细粒砂岩,2620,,,,,2.8,,33.4,,74.6,3,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,泥岩,2250,,,,,0.7,,8.75,,77.6,11.5,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,细粒砂岩,2620,,,,,2.8,,33.4,,89.1,3.5,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,砂质泥岩,2310,,,,,0.8,,5.43,,92.6,17.5,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,煤,1310,,,,,0.5,,5.3,,110.1,0.6,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,泥岩,2250,,,,,0.7,,8.75,,110.7,1.8,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,中粒砂岩,2550,,,,,3.5,,36.1,,112.5,13.2,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,砂质泥岩,2310,,,,,0.8,,5.43,,125.7,0.21,,,,,
兴运煤矿河流下厚煤层开采安全性分析和防控技术,兴运煤矿,河南,,泥岩,2250,,,,,0.7,,8.75,,125.91,0.3,,,,,
厚煤硬顶条件下综放末采回采效率提高对策研究,唐家会煤矿,内蒙古,鄂尔多斯市,中粒砂岩,,1.33,0.96,3.3,28,2.9,,,,520,,,,,,
厚煤硬顶条件下综放末采回采效率提高对策研究,唐家会煤矿,内蒙古,,砂质泥岩,,1.27,0.71,2.8,28,2.4,,,,520,,,,,,
厚煤硬顶条件下综放末采回采效率提高对策研究,唐家会煤矿,内蒙古,,细粒砂岩,,2.22,1.6,5.4,31,5.5,,,,520,,,,,,
厚煤硬顶条件下综放末采回采效率提高对策研究,唐家会煤矿,内蒙古,,泥岩,,1.25,1.53,2.4,26,2,,,,520,,,,,,
厚煤硬顶条件下综放末采回采效率提高对策研究,唐家会煤矿,内蒙古,,6煤,,1.17,0.49,2.2,24,1.7,,,,520,,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,咸阳市,粗砂岩,2550,6.7,3.7,3.9,37,2.76,,,,569.27,1.74,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,泥岩,2450,2.9,1.18,2.4,32,1.39,,,,571.01,1,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,煤,2350,1.2,0.79,1.2,30,1.86,,,,572.01,1.1,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,细砂岩,2650,7.6,3.27,4.7,39,3.31,,,,573.11,11.04,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,泥岩,2450,2.9,1.18,2.4,32,1.39,,,,584.15,0.84,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,煤,2350,1.2,0.79,1.2,30,1.86,,,,584.99,1.31,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,细砂岩,2650,7.6,3.27,4.7,39,3.31,,,,586.3,10.05,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,泥岩,2450,2.9,1.18,2.4,32,1.39,,,,596.35,2.85,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,中砂岩,2550,7.1,3.27,4.5,35,3.44,,,,599.2,0.8,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,煤,2350,1.2,0.79,1.2,30,1.86,,,,600,10.26,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,泥岩,2450,2.9,1.18,2.4,32,1.39,,,,610.26,5.19,,,,,
动静载作用下区段煤柱能量响应特征及动力失稳机制,蒋家河煤矿,陕西,,细砂岩,2650,7.6,3.27,4.7,39,3.31,,,,615.45,,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,邹城市,粉砂岩,,,,,,8.17,85.6,21.01,0.29,123.08,115.66,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,5.14,68.35,20.66,0.26,238.74,21.06,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,中砂岩,,,,,,7.06,50.97,12.45,0.22,259.8,24.66,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,5.14,68.35,20.66,0.26,284.46,54.17,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,6.92,72.35,19.29,0.21,338.63,219.22,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,7.82,78.87,15.52,0.16,557.85,51.29,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,5.29,33.34,19.34,0.25,609.14,12.98,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,细砂岩,,,,,,3.17,46.76,9.85,0.3,622.12,13.38,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,中砂岩,,,,,,6.65,103.01,30.13,0.27,635.5,5.5,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,砂质泥岩,,,,,,2.47,54.87,13.8,0.26,641,3.08,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,中砂岩,,,,,,8.61,90.25,36.63,0.23,644.08,30.87,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,黏土岩,,,,,,2.74,28.44,15,0.33,674.95,1.1,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,粉砂岩,,,,,,6.46,74.88,24.23,0.25,676.05,1.69,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,中砂岩,,,,,,6.23,106.58,43.35,0.24,677.74,0.72,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,粉砂岩,,,,,,7.57,107.14,50.89,0.26,678.46,5.73,,,,,
深部采煤深孔爆破技术防控强矿震机制研究,东滩煤矿,山东,,3上煤,,,,,,,5.39,,,684.19,5.39,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,韩城市,粉砂岩,2700,3.95,3.36,2,32,,3.2,,,520,9.5,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,细粒砂岩,2800,6,4.2,4,45,,3.5,,,520,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,砂质泥岩,2555,1.27,1.21,3.29,34,,0.87,,,520,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,泥岩,2360,2.2,3.65,2.21,33.3,,1.73,,,520,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,中粒砂岩,2460,5.42,3.61,4.4,35.6,,4.37,,,520,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,炭质泥岩,2560,1.29,1.15,3.29,34,,0.87,,,520,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,2#煤,1390,1.6,1.1,2.2,28,,0.48,,,540,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,3#煤,1380,1.1,1.1,2.3,32,,1.2,,,540,,,,,,
近距离煤层回采巷道非对称破坏机理及其控制,下峪口煤矿,陕西,,3#下煤,1380,1.1,1.1,2.3,32,,1.2,,,540,,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,黄土,2150,,,0.02,17,0.01,,,,0,165.4,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,粉砂岩,2590,,,7.6,39,6.8,,,,165.4,37.24,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,中粗砂岩,2520,,,15.6,35,17.2,,,,202.64,25.34,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,砂质泥岩,2500,,,3.2,33,5.4,,,,227.98,25.98,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,中粒砂岩,2550,,,20.6,38,13.5,,,,253.96,14.72,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,粉砂岩,2650,,,7.6,39,6.8,,,,268.68,7.79,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,煤层,1330,,,3.5,29,3,,,,276.47,6.5,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,粗砂岩,2450,,,12.8,35,9.2,,,,282.97,7.86,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,砂质泥岩,2500,,,3.2,33,5.4,,,,290.83,19.68,,,,,
基于颗粒流的倾斜厚煤层坚硬顶板运动失稳规律及水力弱化参数研究,新疆某矿,新疆,,粉砂岩,2600,,,7.6,39,6.8,,,,310.51,20.39,,,,,
